name,type,genre,episodes,popularity,averageScore,rating,animeYear
Tokyo Godfathers,MOVIE,"Adventure,Comedy,Drama",1,47661,81,81,2003
HUNTER×HUNTER OVA,OVA,"Action,Adventure,Fantasy",8,17545,81,81,2002
NOMAD: Megalo Box 2,TV,"Action,Drama,Sci-Fi,Sports",13,35211,81,81,2021
Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,ONA,"Comedy,Slice of Life,Supernatural",6,55138,81,81,2020
5-Toubun no Hanayome ∬,TV,"Comedy,Drama,Romance,Slice of Life",12,119668,81,81,2021
Eiga Daisuki Pompo-san,MOVIE,"Comedy,Drama",1,7535,81,82,2021
Yoru wa Mijikashi Arukeyo Otome,MOVIE,"Comedy,Romance",1,31049,81,81,2017
Space☆Dandy 2,TV,"Comedy,Sci-Fi",13,28207,81,81,2014
ARIA The NATURAL,TV,"Fantasy,Sci-Fi,Slice of Life",26,15457,81,81,2006
Paripi Koumei,TV,"Comedy,Drama,Music,Supernatural",12,37121,81,81,2022
Bungou Stray Dogs Wan!,TV_SHORT,"Comedy,Slice of Life,Supernatural",12,21942,81,81,2021
Shoujo Shuumatsu Ryokou,TV,"Adventure,Sci-Fi,Slice of Life",12,71821,81,81,2018
Versailles no Bara,TV,"Adventure,Drama,Romance",40,18309,81,81,1980
5-Toubun no Hanayome Movie,MOVIE,"Comedy,Drama,Romance,Slice of Life",1,38912,81,84,2022
Kuroshitsuji: Book of the Atlantic,MOVIE,"Action,Comedy,Fantasy,Mystery,Supernatural",1,28985,81,81,2017
